call_index,completion_chars_mean,dataset_role,empty_response_rate,extracted_none_rate,format_accuracy,numeric_exact_rate,reward_mean,reward_std,sampled_rows
10113,1778.5,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
10177,1386.5,['val' 'val'],0.0,0.0,0.0,0.5,1.25,0.25,2
10241,1262.0,['val' 'val'],0.0,0.0,0.5,0.5,3.75,0.75,2
10305,2398.5,['val' 'val'],0.0,0.5,0.0,0.0,0.0,1.5,2
10369,1474.5,['val' 'val'],0.0,0.0,0.0,1.0,3.0,0.0,2
10433,748.5,['val' 'val'],0.0,0.0,0.0,0.5,0.25,0.75,2
10497,1315.5,['train' 'train'],0.0,0.5,0.0,0.0,-1.5,0.0,2
10561,760.0,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,1.0,2
10625,1869.5,['val' 'val'],0.0,0.5,0.5,0.0,0.5,3.0,2
10689,1401.0,['val' 'val'],0.0,0.0,1.0,0.0,3.5,0.0,2
10753,2167.5,['val' 'val'],0.0,0.5,0.0,0.0,-0.5,1.0,2
10817,966.0,['val' 'val'],0.0,0.5,0.0,0.5,-0.25,1.25,2
10881,1345.5,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.5,2
10945,2865.0,['train' 'train'],0.0,0.0,1.0,0.0,4.5,0.0,2
11009,1059.0,['val' 'val'],0.0,1.0,0.0,0.0,-2.5,0.0,2
11073,1217.5,['val' 'val'],0.0,0.0,1.0,1.0,8.5,0.5,2
11137,1395.5,['val' 'val'],0.0,0.0,1.0,0.0,4.125,0.625,2
11201,1594.0,['val' 'val'],0.0,0.0,0.5,1.0,4.5,4.5,2
11265,794.0,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.5,2
11329,2131.0,['train' 'train'],0.0,0.0,1.0,0.0,4.5,0.0,2
11393,2255.0,['val' 'val'],0.0,0.0,1.0,0.5,6.25,2.75,2
11457,1065.0,['val' 'val'],0.0,0.0,0.5,1.0,5.5,3.5,2
11521,1285.0,['val' 'val'],0.0,0.0,0.5,1.0,5.5,3.5,2
11585,2237.0,['val' 'val'],0.0,0.0,0.5,0.0,1.5,2.0,2
11649,2356.5,['val' 'val'],0.0,0.0,1.0,0.0,4.0,0.5,2
11713,1080.5,['val' 'val'],0.0,0.0,0.5,0.0,2.0,1.5,2
11777,1528.5,['train' 'train'],0.0,0.0,0.5,1.0,5.5,3.5,2
11841,1523.0,['val' 'val'],0.0,0.0,0.5,0.0,2.0,1.5,2
11905,1011.5,['val' 'val'],0.0,0.0,0.0,0.0,-0.5,1.0,2
11969,2545.5,['val' 'val'],0.0,0.5,0.0,0.0,-1.0,0.5,2
12033,2403.0,['val' 'val'],0.0,0.5,0.0,0.0,-0.5,1.0,2
12097,1797.5,['val' 'val'],0.0,0.5,0.0,0.0,-0.5,1.0,2
12161,2338.0,['val' 'val'],0.0,0.0,1.0,0.0,4.25,0.75,2
12225,2381.0,['train' 'train'],0.0,0.0,1.0,0.0,4.5,0.0,2
12289,2390.0,['val' 'val'],0.0,0.0,1.0,0.0,4.5,0.0,2
12353,2184.5,['val' 'val'],0.0,0.0,0.5,0.0,2.0,1.5,2
12417,1601.0,['val' 'val'],0.0,0.0,0.5,0.0,2.25,1.75,2
12481,2046.0,['val' 'val'],0.0,0.0,1.0,1.0,9.0,0.0,2
12545,725.5,['val' 'val'],0.0,0.0,0.0,1.0,2.0,0.0,2
12609,1335.5,['val' 'val'],0.0,0.5,0.0,0.5,0.25,1.75,2
12673,2532.0,['train' 'train'],0.0,1.0,0.0,0.0,-1.5,0.0,2
12737,1205.5,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
12801,1274.5,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
12865,951.5,['val' 'val'],0.0,0.5,0.0,0.0,-1.5,0.0,2
12929,1496.5,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
12993,839.0,['val' 'val'],0.0,0.5,0.0,0.5,-0.75,0.75,2
13057,1122.0,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
13121,1224.0,['train' 'train'],0.0,1.0,0.0,0.0,-1.5,0.0,2
13185,1101.5,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
13249,1317.5,['val' 'val'],0.0,0.0,0.0,0.5,1.25,0.75,2
13313,763.0,['val' 'val'],0.0,0.5,0.0,0.0,-0.5,1.0,2
13377,777.5,['val' 'val'],0.0,0.5,0.0,0.5,-0.75,0.75,2
13441,0.0,['val' 'val'],1.0,1.0,0.0,0.0,-2.5,0.0,2
13505,952.0,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
13569,2119.5,['train' 'train'],0.0,0.0,0.0,0.0,0.5,0.0,2
13633,2258.0,['val' 'val'],0.0,0.5,0.0,0.0,-1.0,0.5,2
13697,0.0,['val' 'val'],1.0,1.0,0.0,0.0,-2.5,0.0,2
13761,1663.0,['val' 'val'],0.0,0.0,0.0,0.5,1.25,0.75,2
13825,1557.0,['val' 'val'],0.0,0.0,0.5,0.0,1.5,2.0,2
13889,1482.0,['val' 'val'],0.0,0.0,0.5,0.0,2.0,1.5,2
13953,905.5,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
14017,2079.0,['train' 'train'],0.0,0.0,1.0,0.0,3.5,0.0,2
14081,1344.5,['val' 'val'],0.0,0.0,1.0,0.5,6.25,2.75,2
14145,1315.0,['val' 'val'],0.0,0.0,1.0,0.0,3.75,0.25,2
14209,1383.0,['val' 'val'],0.0,0.5,0.0,0.5,0.25,1.75,2
14273,2178.5,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
14337,1586.5,['val' 'val'],0.0,0.0,0.5,1.0,5.5,3.5,2
14401,2299.0,['train' 'train'],0.0,0.5,0.0,0.5,-0.25,1.25,2
14465,934.5,['val' 'val'],0.0,0.5,0.5,0.0,1.0,2.5,2
14529,1788.5,['val' 'val'],0.0,0.0,0.0,0.5,0.75,0.25,2
14593,2507.0,['val' 'val'],0.0,1.0,0.0,0.0,-1.5,0.0,2
14657,984.0,['val' 'val'],0.0,0.0,0.5,0.0,2.0,1.5,2
14721,748.5,['val' 'val'],0.0,0.5,0.5,0.0,1.0,2.5,2
14785,1698.5,['val' 'val'],0.0,0.5,0.5,0.0,1.25,2.75,2
14849,2265.0,['train' 'train'],0.0,0.5,0.5,0.0,1.0,2.5,2
