source,run,metric,tag,step,wall_time,value
tensorboard,baseline,mean_reward,rewards/train/score/mean,127,1780933433.5105739,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,128,1780933665.7038763,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,129,1780933667.308534,-2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,130,1780933668.668779,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,131,1780933669.2170575,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,132,1780933669.5717034,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,133,1780933669.9158971,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,134,1780933670.689924,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,135,1780933671.045208,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,136,1780933671.344507,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,137,1780933671.7894776,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,138,1780933672.2985444,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,139,1780933673.9605258,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,140,1780933674.4026735,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,141,1780933675.1233616,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,142,1780933675.5349927,-0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,143,1780933675.9463503,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,144,1780933676.4308848,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,145,1780933677.1959734,2.875
tensorboard,baseline,mean_reward,rewards/train/score/mean,146,1780933677.6906383,4.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,147,1780933679.35683,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,148,1780933679.8928049,0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,149,1780933681.558147,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,150,1780933682.1424818,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,151,1780933682.511394,-0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,152,1780933682.803487,6.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,153,1780933684.46268,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,154,1780933684.7453105,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,155,1780933686.4101694,3.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,156,1780933686.7836828,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,157,1780933687.136829,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,158,1780933687.7359595,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,159,1780933688.284962,5.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,160,1780933689.9483745,0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,161,1780933690.303252,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,162,1780933690.7608874,-1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,163,1780933691.1809382,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,164,1780933691.8930595,5.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,165,1780933692.649399,4.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,166,1780933693.2769673,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,167,1780933693.7829728,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,168,1780933694.3946822,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,169,1780933694.8278246,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,170,1780933695.1178277,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,171,1780933695.4708211,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,172,1780933695.917745,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,173,1780933696.2468786,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,174,1780933696.7693777,6.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,175,1780933698.4340048,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,176,1780933699.0617359,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,177,1780933700.7272894,1.625
tensorboard,baseline,mean_reward,rewards/train/score/mean,178,1780933701.0698485,6.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,179,1780933701.4447372,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,180,1780933703.1066575,-1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,181,1780933703.4549518,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,182,1780933703.732122,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,183,1780933704.1879504,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,184,1780933704.8067577,7.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,185,1780933705.1490958,6.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,186,1780933705.5973794,6.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,187,1780933707.2629092,3.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,188,1780933707.911831,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,189,1780933708.5911891,-2.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,190,1780933708.8948514,4.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,191,1780933709.9687698,2.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,192,1780933930.253724,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,193,1780933930.6728406,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,194,1780933931.3058798,3.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,195,1780933931.7547932,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,196,1780933933.4216678,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,197,1780933934.004457,5.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,198,1780933934.478429,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,199,1780933934.820367,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,200,1780933935.6250432,10.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,201,1780933936.0900218,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,202,1780933936.4599292,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,203,1780933936.8572788,5.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,204,1780933937.255938,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,205,1780933937.843842,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,206,1780933938.4056447,-0.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,207,1780933938.8738394,0.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,208,1780933939.3191037,3.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,209,1780933939.7493982,1.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,210,1780933940.0032735,2.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,211,1780933940.3510196,9.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,212,1780933941.1432843,3.0
tensorboard,baseline,mean_reward,rewards/train/score/mean,213,1780933941.7096937,6.25
tensorboard,baseline,mean_reward,rewards/train/score/mean,214,1780933943.3780553,3.75
tensorboard,baseline,mean_reward,rewards/train/score/mean,215,1780933944.1195238,1.5
tensorboard,baseline,mean_reward,rewards/train/score/mean,216,1780933944.4517548,3.25
