run,metric,step,value
course-baseline-001,train score mean,225,4.5
course-baseline-001,train score mean,226,10.0
course-baseline-001,train score mean,227,4.5
course-baseline-001,train score mean,228,4.75
course-baseline-001,train score mean,229,4.75
course-baseline-001,train score mean,230,7.25
course-baseline-001,train score mean,231,10.0
course-baseline-001,train score mean,232,10.0
course-baseline-001,train score mean,233,-1.0
course-baseline-001,train score mean,234,5.75
course-baseline-001,train score mean,235,4.5
course-baseline-001,train score mean,236,10.0
course-baseline-001,train score mean,237,3.125
course-baseline-001,train score mean,238,7.25
course-baseline-001,train score mean,239,2.5
course-baseline-001,train score mean,240,4.5
course-baseline-001,train score mean,241,3.0
course-baseline-001,train score mean,242,10.0
course-baseline-001,train score mean,243,7.25
course-baseline-001,train score mean,244,4.5
course-baseline-001,train score mean,245,4.5
course-baseline-001,train score mean,246,7.25
course-baseline-001,train score mean,247,2.0
course-baseline-001,train score mean,248,4.5
course-baseline-001,train score mean,249,4.5
course-baseline-001,train score mean,250,7.25
course-baseline-001,train score mean,251,2.0
course-baseline-001,train score mean,252,1.0
course-baseline-001,train score mean,253,7.25
course-baseline-001,train score mean,254,10.0
course-baseline-001,train score mean,255,7.25
course-baseline-001,train score mean,256,7.25
course-baseline-001,train score mean,257,7.25
course-baseline-001,train score mean,258,1.25
course-baseline-001,train score mean,259,1.0
course-baseline-001,train score mean,260,10.0
course-baseline-001,train score mean,261,4.5
course-baseline-001,train score mean,262,-0.5
course-baseline-001,train score mean,263,6.0
course-baseline-001,train score mean,264,2.0
course-baseline-001,train score mean,265,5.25
course-baseline-001,train score mean,266,6.0
course-baseline-001,train score mean,267,4.5
course-baseline-001,train score mean,268,7.25
course-baseline-001,train score mean,269,6.5
course-baseline-001,train score mean,270,10.0
course-baseline-001,train score mean,271,4.5
course-baseline-001,train score mean,272,1.5
course-baseline-001,train score mean,273,7.25
course-baseline-001,train score mean,274,3.0
course-baseline-001,train score mean,275,1.5
course-baseline-001,train score mean,276,7.25
course-baseline-001,train score mean,277,6.0
course-baseline-001,train score mean,278,2.0
course-baseline-001,train score mean,279,4.5
course-baseline-001,train score mean,280,10.0
course-baseline-001,train score mean,281,10.0
course-baseline-001,train score mean,282,10.0
course-baseline-001,train score mean,283,5.125
course-baseline-001,train score mean,284,4.5
course-baseline-001,train score mean,285,4.5
course-baseline-001,train score mean,286,4.5
course-baseline-001,train score mean,287,2.5
course-baseline-001,train score mean,288,10.0
course-baseline-001,train score mean,289,8.0
course-baseline-001,train score mean,290,10.0
course-baseline-001,train score mean,291,7.25
course-baseline-001,train score mean,292,4.5
course-baseline-001,train score mean,293,10.0
course-baseline-001,train score mean,294,8.0
course-baseline-001,train score mean,295,1.0
course-baseline-001,train score mean,296,4.5
course-baseline-001,train score mean,297,3.0
course-baseline-001,train score mean,298,2.0
course-baseline-001,train score mean,299,4.5
course-baseline-001,train score mean,300,2.5
course-baseline-001,train score mean,301,10.0
course-baseline-001,train score mean,302,2.5
course-baseline-001,train score mean,303,7.25
course-baseline-001,train score mean,304,3.125
course-baseline-001,train score mean,305,7.25
course-baseline-001,train score mean,306,7.25
course-baseline-001,train score mean,307,7.25
course-baseline-001,train score mean,308,2.0
course-baseline-001,train score mean,309,2.25
course-baseline-001,train score mean,310,10.0
course-baseline-001,train score mean,311,5.75
course-baseline-001,train score mean,312,10.0
course-baseline-001,train score mean,313,2.0
course-baseline-001,train score mean,314,6.5
course-baseline-001,train score mean,315,10.0
course-baseline-001,train score mean,316,4.5
course-baseline-001,train score mean,317,10.0
course-baseline-001,train score mean,318,4.5
course-baseline-001,train score mean,319,6.5
course-baseline-001,train score mean,320,0.0
course-baseline-001,train score mean,321,10.0
course-baseline-001,train score mean,322,7.25
course-baseline-001,train score mean,323,2.5
course-baseline-001,train score mean,324,2.625
course-baseline-001,train score mean,325,10.0
course-baseline-001,train score mean,326,4.5
course-baseline-001,train score mean,327,6.0
course-baseline-001,train score mean,328,7.25
course-baseline-001,train score mean,329,7.25
course-baseline-001,train score mean,330,7.25
course-baseline-001,train score mean,331,5.25
course-baseline-001,train score mean,332,5.0
course-baseline-001,train score mean,333,5.25
course-baseline-001,train score mean,334,0.5
course-baseline-001,train score mean,335,4.5
course-baseline-001,train score mean,336,8.75
course-baseline-001,train score mean,337,10.0
course-baseline-001,train score mean,338,-0.5
course-baseline-001,train score mean,339,4.75
course-baseline-001,train score mean,340,10.0
course-baseline-001,train score mean,341,10.0
course-baseline-001,train score mean,342,2.0
course-baseline-001,train score mean,343,6.5
course-baseline-001,train score mean,344,4.375
course-baseline-001,train score mean,345,10.0
course-baseline-001,train score mean,346,10.0
course-baseline-001,train score mean,347,5.125
course-baseline-001,train score mean,348,5.25
course-baseline-001,train score mean,349,3.0
course-baseline-001,train score mean,350,6.5
course-baseline-001,train score mean,351,10.0
course-baseline-001,train score mean,352,-0.5
course-baseline-001,train score mean,353,0.0
course-baseline-001,train score mean,354,4.5
course-baseline-001,train score mean,355,10.0
course-baseline-001,train score mean,356,4.5
course-baseline-001,train score mean,357,5.25
course-baseline-001,train score mean,358,0.0
course-baseline-001,train score mean,359,10.0
course-baseline-001,train score mean,360,7.5
course-baseline-001,train score mean,361,10.0
course-baseline-001,train score mean,362,6.5
course-baseline-001,train score mean,363,5.25
course-baseline-001,train score mean,364,5.25
course-baseline-001,train score mean,365,10.0
course-baseline-001,train score mean,366,10.0
course-baseline-001,train score mean,367,5.25
course-baseline-001,train score mean,368,0.5
course-baseline-001,train score mean,369,0.0
course-baseline-001,train score mean,370,5.25
course-baseline-001,train score mean,371,8.0
course-baseline-001,train score mean,372,4.5
course-baseline-001,train score mean,373,10.0
course-baseline-001,train score mean,374,0.5
course-baseline-001,train score mean,375,7.25
course-baseline-001,train score mean,376,7.5
course-baseline-001,train score mean,377,10.0
course-baseline-001,train score mean,378,10.0
course-baseline-001,train score mean,379,4.5
course-baseline-001,train score mean,380,4.5
course-baseline-001,train score mean,381,10.0
course-baseline-001,train score mean,382,4.0
course-baseline-001,train score mean,383,5.0
course-baseline-001,train score mean,384,4.5
course-baseline-001,train score mean,385,10.0
course-baseline-001,train score mean,386,2.5
course-baseline-001,train score mean,387,10.0
course-baseline-001,train score mean,388,6.5
course-baseline-001,train score mean,389,2.5
course-baseline-001,train score mean,390,6.0
course-baseline-001,train score mean,391,5.75
course-baseline-001,train score mean,392,3.75
course-baseline-001,train score mean,393,0.0
course-baseline-001,train score mean,394,5.25
course-baseline-001,train score mean,395,2.0
course-baseline-001,train score mean,396,4.75
course-baseline-001,train score mean,397,10.0
course-baseline-001,train score mean,398,6.0
course-baseline-001,train score mean,399,4.5
course-baseline-001,train score mean,400,5.25
course-baseline-001,train score mean,401,0.5
course-baseline-001,train score mean,402,4.5
course-baseline-001,train score mean,403,10.0
course-baseline-001,train score mean,404,4.5
course-baseline-001,train score mean,405,10.0
course-baseline-001,train score mean,406,7.25
course-baseline-001,train score mean,407,2.0
course-baseline-001,train score mean,408,1.0
course-baseline-001,train score mean,409,7.25
course-baseline-001,train score mean,410,5.25
course-baseline-001,train score mean,411,4.5
course-baseline-001,train score mean,412,4.5
course-baseline-001,train score mean,413,2.5
course-baseline-001,train score mean,414,4.5
course-baseline-001,train score mean,415,2.0
course-baseline-001,train score mean,416,10.0
course-baseline-001,train score mean,417,10.0
course-baseline-001,train score mean,418,10.0
course-baseline-001,train score mean,419,5.0
course-baseline-001,train score mean,420,7.25
course-baseline-001,train score mean,421,10.0
course-baseline-001,train score mean,422,4.5
course-baseline-001,train score mean,423,8.0
course-baseline-001,train score mean,424,2.0
course-baseline-001,train score mean,425,10.0
course-baseline-001,train score mean,426,2.25
course-baseline-001,train score mean,427,2.0
course-baseline-001,train score mean,428,4.5
course-baseline-001,train score mean,429,4.5
course-baseline-001,train score mean,430,10.0
course-baseline-001,train score mean,431,10.0
course-baseline-001,train score mean,432,10.0
course-baseline-001,train score mean,433,4.5
course-baseline-001,train score mean,434,10.0
course-baseline-001,train score mean,435,7.25
course-baseline-001,train score mean,436,7.25
course-baseline-001,train score mean,437,4.5
course-baseline-001,train score mean,438,7.25
course-baseline-001,train score mean,439,2.0
course-baseline-001,train score mean,440,10.0
course-baseline-001,train score mean,441,4.5
course-baseline-001,train score mean,442,10.0
course-baseline-001,train score mean,443,8.75
course-baseline-001,train score mean,444,10.0
course-baseline-001,train score mean,445,10.0
course-baseline-001,train score mean,446,10.0
course-baseline-001,train score mean,447,10.0
course-baseline-001,train score mean,448,7.25
course-baseline-001,train score mean,449,7.25
course-baseline-001,train score mean,450,10.0
course-baseline-001,train score mean,451,10.0
course-baseline-001,train score mean,452,7.25
course-baseline-001,train score mean,453,4.5
course-baseline-001,train score mean,454,10.0
course-baseline-001,train score mean,455,10.0
course-baseline-001,train score mean,456,2.0
course-baseline-001,train score mean,457,6.5
course-baseline-001,train score mean,458,10.0
course-baseline-001,train score mean,459,7.25
course-baseline-001,train score mean,460,10.0
course-baseline-001,train score mean,461,4.5
course-baseline-001,train score mean,462,10.0
course-baseline-001,train score mean,463,10.0
course-baseline-001,train score mean,464,4.5
course-baseline-001,train score mean,465,5.375
course-baseline-001,train score mean,466,4.5
course-baseline-001,train score mean,467,10.0
course-baseline-001,train score mean,468,2.0
course-baseline-001,train score mean,469,2.0
course-baseline-001,train score mean,470,5.125
course-baseline-001,train score mean,471,6.5
course-baseline-001,train score mean,472,4.5
course-baseline-001,train score mean,473,10.0
course-baseline-001,train score mean,474,7.25
course-baseline-001,train score mean,475,4.5
course-baseline-001,train score mean,476,10.0
course-baseline-001,train score mean,477,4.5
course-baseline-001,train score mean,478,10.0
course-baseline-001,train score mean,479,10.0
course-baseline-001,train score mean,480,7.25
course-baseline-001,train score mean,481,4.5
course-baseline-001,train score mean,482,2.0
course-baseline-001,train score mean,483,5.125
course-baseline-001,train score mean,484,7.25
course-baseline-001,train score mean,485,8.0
course-baseline-001,train score mean,486,4.5
course-baseline-001,train score mean,487,10.0
course-baseline-001,train score mean,488,2.0
course-baseline-001,train score mean,489,10.0
course-baseline-001,train score mean,490,10.0
course-baseline-001,train score mean,491,10.0
course-baseline-001,train score mean,492,7.25
course-baseline-001,train score mean,493,4.5
course-baseline-001,train score mean,494,10.0
course-baseline-001,train score mean,495,2.0
course-baseline-001,train score mean,496,-0.5
course-baseline-001,train score mean,497,10.0
course-baseline-001,train score mean,498,7.25
course-baseline-001,train score mean,499,3.0
course-baseline-001,train score mean,500,7.25
course-baseline-001,train score mean,501,5.125
course-baseline-001,train score mean,502,2.0
course-baseline-001,train score mean,503,7.25
course-baseline-001,train score mean,504,4.5
course-baseline-001,train score mean,505,7.25
course-baseline-001,train score mean,506,3.0
course-baseline-001,train score mean,507,10.0
course-baseline-001,train score mean,508,0.5
course-baseline-001,train score mean,509,7.25
course-baseline-001,train score mean,510,7.25
course-baseline-001,train score mean,511,-0.5
course-baseline-001,train score mean,512,3.25
course-baseline-001,train score mean,513,5.75
course-baseline-001,train score mean,514,10.0
course-baseline-001,train score mean,515,10.0
course-baseline-001,train score mean,516,5.125
course-baseline-001,train score mean,517,2.5
course-baseline-001,train score mean,518,8.0
course-baseline-001,train score mean,519,4.5
course-baseline-001,train score mean,520,7.875
course-baseline-001,train score mean,521,10.0
course-baseline-001,train score mean,522,10.0
course-baseline-001,train score mean,523,8.75
course-baseline-001,train score mean,524,4.5
course-baseline-001,train score mean,525,7.25
course-baseline-001,train score mean,526,10.0
course-baseline-001,train score mean,527,10.0
course-baseline-001,train score mean,528,7.25
course-baseline-001,train score mean,529,2.0
course-baseline-001,train score mean,530,7.25
course-baseline-001,train score mean,531,5.75
course-baseline-001,train score mean,532,2.0
course-baseline-001,train score mean,533,4.5
course-baseline-001,train score mean,534,4.75
course-baseline-001,train score mean,535,4.5
course-baseline-001,train score mean,536,4.5
course-baseline-001,train score mean,537,-0.5
course-baseline-001,train score mean,538,6.5
course-baseline-001,train score mean,539,7.25
course-baseline-001,train score mean,540,10.0
course-baseline-001,train score mean,541,10.0
course-baseline-001,train score mean,542,3.75
course-baseline-001,train score mean,543,3.75
course-baseline-001,train score mean,544,4.5
course-baseline-001,train score mean,545,7.25
course-baseline-001,train score mean,546,4.75
course-baseline-001,train score mean,547,5.0
course-baseline-001,train score mean,548,7.25
course-baseline-001,train score mean,549,10.0
course-baseline-001,train score mean,550,10.0
course-baseline-001,train score mean,551,7.25
course-baseline-001,train score mean,552,10.0
course-baseline-001,train score mean,553,4.5
course-baseline-001,train score mean,554,-0.5
