eval_advantage_std,eval_all_correct_group_rate,eval_all_wrong_group_rate,eval_check_answer,eval_check_numbers,eval_completion_length,eval_empty_response_rate,eval_extracted_none_rate,eval_format_accuracy,eval_frac_reward_zero_std,eval_has_solution_end_rate,eval_kl,eval_loss,eval_match_format_approx,eval_match_format_exact,eval_numeric_exact_rate,eval_numeric_partial_rate,eval_pg_clipfrac,eval_reward_mean,eval_reward_score,eval_reward_std,jax_orbax_write_gbytes,jax_orbax_write_gbytes_per_sec,step,train_advantage_std,train_all_correct_group_rate,train_all_wrong_group_rate,train_check_answer,train_check_numbers,train_completion_length,train_empty_response_rate,train_extracted_none_rate,train_format_accuracy,train_frac_reward_zero_std,train_has_solution_end_rate,train_kl,train_loss,train_match_format_approx,train_match_format_exact,train_numeric_exact_rate,train_numeric_partial_rate,train_pg_clipfrac,train_reward_mean,train_reward_score,train_reward_std
,,,,,,,,,,,,,,,,,,,,,,,30,0.0,0.0,1.0,-1.0,0.0,200.5,0.0,0.0,1.0,1.0,1.0,0.0045751468278467655,0.0003641655493993312,1.5,3.0,0.0,0.0,0.0,0.875,3.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,31,0.707106351852417,0.0,0.0,0.0,0.75,105.5,0.0,0.0,0.0,0.0,0.5,-0.012889890931546688,-0.0010010903934016824,-1.0,0.0,0.5,0.5,0.0,-0.0625,-0.25,1.25
,,,,,,,,,,,,,,,,,,,,,,,32,0.7071061134338379,0.0,0.0,0.0,0.75,129.0,0.0,0.0,0.0,0.0,1.0,0.010553387925028801,0.0008336080354638398,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,33,0.0,0.0,1.0,0.0,0.0,242.0,0.0,0.0,0.0,1.0,1.0,-0.0011655379785224795,-0.00014804898819420487,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,34,0.7071065902709961,0.0,1.0,-0.5,0.0,490.5,0.0,0.5,0.5,0.0,0.5,-0.010870378464460373,-0.0008461915422230959,0.0,1.5,0.0,0.0,0.0,0.25,1.0,2.5
,,,,,,,,,,,,,,,,,,,,,,,35,0.7071062922477722,0.0,1.0,0.0,0.0,503.5,0.0,0.5,0.0,0.0,0.5,0.00013022078201174736,-0.00011620166333159432,-1.5,0.0,0.0,0.0,0.0,-0.375,-1.5,1.0
,,,,,,,,,,,,,,,,,,,,,,,36,0.0,1.0,0.0,0.0,1.5,149.0,0.0,0.0,0.0,1.0,1.0,-0.0005836638156324625,7.46364748920314e-05,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,37,0.7071061134338379,0.0,0.0,0.0,0.75,84.0,0.0,0.5,0.0,0.0,1.0,-0.010656100697815418,-0.0008447229629382491,-1.5,0.0,0.5,0.5,0.0,-0.1875,-0.75,0.75
,,,,,,,,,,,,,,,,,,,,,,,38,0.7071057558059692,0.0,1.0,0.0,0.0,167.5,0.0,0.5,0.0,0.0,1.0,0.0022167705465108156,0.00015690084546804428,-1.0,0.0,0.0,0.0,0.0,-0.25,-1.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,39,0.0,0.0,1.0,0.0,0.0,169.5,0.0,0.0,0.0,1.0,1.0,0.003748350078240037,0.00022153965255711228,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,40,0.7071057558059692,1.0,0.0,0.0,1.5,123.0,0.0,0.0,0.0,0.0,1.0,-0.010237881913781166,-0.0020218035206198692,-1.0,0.0,1.0,1.0,0.0,0.125,0.5,0.5
,,,,,,,,,,,,,,,,,,,,,,,41,0.0,1.0,0.0,0.0,1.5,117.0,0.0,0.0,0.0,1.0,1.0,0.0009122554329223931,6.66080741211772e-05,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,42,0.7071057558059692,0.0,1.0,0.0,0.0,130.5,0.0,0.5,0.0,0.0,1.0,-0.003543568542227149,-0.0002777805784717202,-1.0,0.0,0.0,0.0,0.0,-0.25,-1.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,43,0.7071061134338379,0.0,0.0,0.0,0.75,129.5,0.0,0.0,0.0,0.0,1.0,0.003927574492990971,0.0002762458170764148,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,44,0.0,1.0,0.0,0.0,1.5,93.5,0.0,0.0,0.0,1.0,1.0,-0.005564509425312281,-0.00045295493328012526,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,45,0.7071057558059692,0.0,1.0,0.0,0.0,183.0,0.0,0.0,0.0,0.0,1.0,-0.0040331450290977955,-0.00034384176251478493,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,46,0.0,1.0,0.0,0.0,1.5,241.5,0.0,0.0,0.0,1.0,1.0,0.0044972519390285015,0.00039996180566959083,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,47,0.7071066498756409,1.0,0.0,1.5,1.5,236.0,0.0,0.0,0.5,0.0,1.0,0.0001619232352823019,7.787840331729967e-06,1.0,1.5,1.0,1.0,0.0,1.375,5.5,3.5
,,,,,,,,,,,,,,,,,,,,,,,48,0.7071061134338379,0.0,0.0,0.0,0.75,133.5,0.0,0.0,0.0,0.0,1.0,0.041915833950042725,0.0033509721979498863,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,49,0.0,0.0,1.0,0.0,0.0,201.5,0.0,0.0,0.0,1.0,1.0,0.009311197325587273,0.0007265991298481822,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,50,0.0,1.0,0.0,0.0,1.5,161.0,0.0,0.0,0.0,1.0,1.0,-0.0018196578603237867,-0.0001365401258226484,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,51,0.7071061134338379,0.0,0.0,0.0,0.75,112.0,0.0,0.0,0.0,0.0,1.0,0.0009702658862806857,4.2891409975709394e-05,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,52,0.0,1.0,0.0,0.0,1.5,145.5,0.0,0.0,0.0,1.0,1.0,0.0029293301049619913,0.0002978226402774453,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,53,0.0,1.0,0.0,0.0,1.5,109.5,0.0,0.0,0.0,1.0,1.0,-0.003818053286522627,-0.00029383605578914285,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,54,0.0,1.0,0.0,0.0,1.5,196.5,0.0,0.0,0.0,1.0,1.0,-0.01610969379544258,-0.0012910655932500958,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,55,0.0,1.0,0.0,0.0,1.5,170.0,0.0,0.0,0.0,1.0,1.0,0.0030611343681812286,0.0002437654766254127,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,56,0.0,0.0,1.0,0.0,0.0,111.0,0.0,0.0,0.0,1.0,1.0,-0.0008035660139285028,-6.26455876044929e-05,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,57,0.0,0.0,1.0,0.0,0.0,195.5,0.0,0.0,0.0,1.0,1.0,0.02542930468916893,0.0020791548304259777,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,58,0.0,1.0,0.0,0.0,1.5,535.5,0.0,0.0,0.0,1.0,1.0,-0.005101708695292473,-0.00026928875013254583,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,59,0.707106351852417,0.0,0.0,0.0,0.75,143.0,0.0,0.0,0.0,0.0,1.0,0.0011425730772316456,0.00013726703764405102,0.0,0.0,0.5,0.5,0.0,0.1875,0.75,1.25
,,,,,,,,,,,,,,,,,,,,,,,60,0.7071061134338379,0.0,0.0,0.0,0.75,117.0,0.0,0.0,0.0,0.0,1.0,0.018374664708971977,0.0014701765030622482,-0.5,0.0,0.5,0.5,0.0,0.0625,0.25,0.75
,,,,,,,,,,,,,,,,,,,,,,,61,0.0,0.0,1.0,0.0,0.0,121.5,0.0,0.0,0.0,1.0,1.0,0.0007848087698221207,-0.00020740326726809144,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,62,0.7071062922477722,0.0,1.0,0.0,0.0,558.5,0.0,0.5,0.0,0.0,0.5,0.0010568437865003943,9.714462794363499e-05,-1.5,0.0,0.0,0.0,0.0,-0.375,-1.5,1.0
,,,,,,,,,,,,,,,,,,,,,,,63,0.7071064710617065,0.0,0.0,0.0,0.75,446.5,0.0,0.5,0.0,0.0,0.5,0.001456903642974794,0.00017235289851669222,-1.5,0.0,0.5,0.5,0.0,-0.1875,-0.75,1.75
0.3233025074005127,0.39304813742637634,0.39839571714401245,0.042446523904800415,0.7459893226623535,232.06951904296875,0.0,0.12032085657119751,0.0628342255949974,0.5427807569503784,0.8529411554336548,0.003482863074168563,0.0002768378471955657,-0.5681818127632141,0.18850266933441162,0.49732619524002075,0.5307486653327942,0.0,0.10218916833400726,0.40875667333602905,0.43950533866882324,,,64,0.0,1.0,0.0,0.0,1.5,215.5,0.0,0.0,0.0,1.0,1.0,-0.0011063284473493695,7.466944225598127e-05,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,65,0.0,0.0,1.0,0.0,0.0,199.5,0.0,0.0,0.0,1.0,1.0,0.01753377541899681,0.0014198608696460724,-0.5,0.0,0.0,0.0,0.0,-0.125,-0.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,66,0.0,1.0,0.0,0.0,1.5,235.5,0.0,0.0,0.0,1.0,1.0,0.006400789599865675,0.0010359484003856778,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,67,0.7071057558059692,0.0,1.0,0.0,0.0,163.0,0.0,0.5,0.0,0.0,1.0,-7.264122541528195e-05,-5.790308932773769e-06,-1.0,0.0,0.0,0.0,0.0,-0.25,-1.0,0.5
,,,,,,,,,,,,,,,,,,,,,,,68,0.7071062922477722,0.0,1.0,0.0,0.0,525.0,0.0,0.5,0.0,0.0,0.5,0.0021370085887610912,0.00016881394549272954,-1.5,0.0,0.0,0.0,0.0,-0.375,-1.5,1.0
,,,,,,,,,,,,,,,,,,,,,,,69,0.0,1.0,0.0,0.0,1.5,225.0,0.0,0.0,0.0,1.0,1.0,0.0007966614211909473,5.191586751607247e-05,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
,,,,,,,,,,,,,,,,,,,,,,,70,0.0,0.0,1.0,-1.0,0.0,227.0,0.0,0.0,1.0,1.0,1.0,0.007160267326980829,0.0005734687438234687,1.5,3.0,0.0,0.0,0.0,0.875,3.5,0.0
,,,,,,,,,,,,,,,,,,,,,,,71,0.0,1.0,0.0,0.0,1.5,145.5,0.0,0.0,0.0,1.0,1.0,-0.003468341426923871,-0.00027766905259341,-0.5,0.0,1.0,1.0,0.0,0.25,1.0,0.0
