answer_single_number_rate,call_index,dataset_role,dense_wrong_reward_std,empty_response_rate,extracted_none_rate,fallback_guarded_wrong_reward_std,fallback_number_used_rate,fallback_numeric_exact_rate,format_accuracy,guarded_wrong_reward_std,no_close_answer_rate,numeric_exact_rate,overlong_rate_1200,overlong_rate_1600,parser_false_negative_rate,reward_format_leakage,reward_hacking_rate,reward_mean,reward_mode,reward_numeric_margin,robust_numeric_exact_rate,rows,run_id
1.0,9638,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.0,,1.0,1.0,0.0,0.0,0.0,,0.0,3.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9639,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,,0.0,1.5,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9640,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,4.5,baseline,6.0,0.5,2,R6_lora_r32_rollout320
1.0,9641,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9642,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9643,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,0.5,0.0,0.5,0.5,0.0,0.0,0.0,,0.0,5.75,baseline,8.5,0.5,2,R6_lora_r32_rollout320
0.5,9644,['val' 'val'],0.75,0.0,0.5,0.375,0.0,0.0,0.5,1.25,0.0,0.0,0.5,0.5,0.0,4.5,0.5,2.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9645,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.5,0.5,0.0,0.0,4.5,0.5,7.25,baseline,5.5,0.5,2,R6_lora_r32_rollout320
1.0,9646,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,0.5,,0.5,1.0,0.0,0.0,0.0,,0.0,6.5,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9647,['val' 'val'],0.625,0.0,0.0,0.875,0.0,0.0,1.0,0.875,0.0,0.0,0.0,0.0,0.0,5.125,1.0,5.125,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9648,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,4.5,0.5,3.0,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9649,['val' 'val'],,0.0,0.0,0.0,0.0,0.0,1.0,,0.0,1.0,0.0,0.0,0.0,,0.0,10.0,baseline,,1.0,2,R6_lora_r32_rollout320
1.0,9650,['val' 'val'],0.0,0.0,0.0,0.0,0.0,0.0,0.5,0.0,0.5,0.0,0.0,0.0,0.0,6.0,0.5,3.75,baseline,,0.0,2,R6_lora_r32_rollout320
1.0,9651,['val' 'val'],0.0,0.0,0.0,3.75,0.0,0.0,1.0,0.0,0.0,0.5,0.0,0.0,0.0,4.5,0.5,7.25,baseline,5.5,0.5,2,R6_lora_r32_rollout320
